confirmedCode;date;confirmedQuantity;confirmedTotalQuantity;nameCountry;nameDataset
Confirmed-000232;2020-06-11;119;4759;Senegal;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000233;2020-06-10;149;6879;Sudán;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000234;2020-06-10;62;8743;Camerún;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000235;2020-06-10;83;388;Benín;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000236;2020-06-10;81;4372;Guinea;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000237;2020-06-10;92;2044;República Centroafricana;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000238;2020-06-10;11;94;Burundi;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000239;2020-06-10;64;1670;Sudán del Sur;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000240;2020-06-10;6;48;Botsuana;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000241;2020-06-10;13;410;Liberia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000242;2020-06-10;14;679;Uganda;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000243;2020-06-10;125;4515;República Democrática del Congo;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000244;2020-06-10;17;745;República del Congo;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000245;2020-06-10;409;13873;Nigeria;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000246;2020-06-10;2;1606;Sudán del Sur;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000247;2020-06-10;81;3375;Gabón;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000248;2020-06-10;21;522;Togo;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000249;2020-06-10;21;632;Santo Tomé y Príncipe;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000250;2020-06-10;2430;55421;Sudáfrica;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000251;2020-06-10;186;4181;Costa de Marfil;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000252;2020-06-10;102;10484;Argelia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000253;2020-06-10;6;320;Zimbabue;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000254;2020-06-10;17;113;Angola;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000255;2020-06-10;1455;38284;Egipto;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000256;2020-06-10;13;476;Ruanda;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000257;2020-06-10;121;1283;Mauritania;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000258;2020-06-10;30;615;Cabo Verde;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000259;2020-06-10;63;8508;Marruecos;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000260;2020-06-10;27;398;Suazilandia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000261;2020-06-10;17;1252;Zambia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000262;2020-06-10;2;846;Chad;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000263;2020-06-10;37;1062;Sierra Leona;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000264;2020-06-10;19;472;Mozambique;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000265;2020-06-10;42;4373;Yibuti;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000266;2020-06-10;81;1667;Mali;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000267;2020-06-10;36;2452;Somalia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000268;2020-06-10;105;3094;Kenia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000269;2020-06-10;24;1162;Madagascar;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000270;2020-06-10;8;8445;Marruecos;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000271;2020-06-10;27;359;Libia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000272;2020-06-10;124;4640;Senegal;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000273;2020-06-10;170;2506;Etiopía;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000274;2020-06-09;148;6730;Sudán;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000275;2020-06-09;1;892;Burkina Faso;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000276;2020-06-09;157;10358;Ghana;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000277;2020-06-09;64;1952;República Centroafricana;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000278;2020-06-09;33;4291;Guinea;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000279;2020-06-09;14;397;Liberia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000280;2020-06-09;131;4390;República Democrática del Congo;confirmed_cases_africa_ncov_2020-06-16
