DATE_INSERT;DATE_CASE;NEW_CASES;TOTAL_CASES;ID_UNISO_COUNTRY;COUNTRY_NAME;SOURCE;
"2020-05-04 21:58:53";"2020-05-03";"1";"46";"854";"BURKINA";"https://twitter.com/burkina24/status/1257395135219974144/photo/1";
"2020-05-04 21:13:53";"2020-05-03";"2";"9";"324";"GUINEA";"https://twitter.com/anss_guinee/status/1257358375832162317/photo/1";
"2020-05-04 01:14:17";"2020-05-03";"2";"87";"566";"NIGERIA";"https://twitter.com/NCDCgov/status/1257082786458079234";
"2020-05-03 23:24:55";"2020-05-03";"2";"17";"384";"CIV";"https://twitter.com/Covid19_CI/status/1257034184431935489/photo/1";
"2020-05-03 23:21:33";"2020-05-03";"1";"36";"562";"NIGER";"https://twitter.com/MinSanteNiger/status/1257040254109917187";
"2020-05-03 23:17:46";"2020-05-03";"1";"34";"180";"DRC";"https://twitter.com/CMR_Covid19_RDC/status/1257049611681902597";
"2020-05-03 20:28:16";"2020-05-03";"14";"429";"818";"EGYPT";"https://twitter.com/mohpegypt/status/1256995826360029186";
"2020-05-03 20:16:50";"2020-05-03";"8";"131";"710";"SOUTH AFRICA";"https://twitter.com/nicd_sa/status/1257006165889880069";
"2020-05-03 18:27:44";"2020-05-03";"2";"24";"404";"KENYA";"https://twitter.com/MOH_Kenya/status/1256982167852388354";
"2020-05-03 18:22:57";"2020-05-03";"1";"174";"504";"MOROCCO";"https://twitter.com/Ministere_Sante/status/1256978766749933574";
"2020-05-03 18:05:45";"2020-05-03";"4";"463";"12";"ALGERIA";"https://www.express-dz.com/2020/05/03/coronavirus-179-nouveaux-cas-confirmes-et-4-nouveaux-deces-en-algerie/";
